name,parameter-MB,memory-MB,FLOPs-G
alexnet,233,73,15
alexnet,233,377,86
alexnet,233,872,200
alexnet,233,2000,361
alexnet,233,2000,572
alexnet,233,4000,829
vgg-m,393,365,44
vgg-m,393,2000,204
vgg-m,393,4000,480
vgg-m,393,6000,874
vgg-m,393,10000,1000
vgg-m,393,15000,2000
vgg-16,528,2000,493
vgg-16,528,7000,2000
googlenet,51,805,50
googlenet,51,3000,205
googlenet,51,7000,457
googlenet,51,13000,819
googlenet,51,20000,1000
googlenet,51,29000,2000
resnet-101,170,5000,251
resnet-101,170,19000,974
resnet-101,170,44000,2000
inceptionv3,91,11000,735
inceptionv3,91,26000,2000
inceptionv3,91,47000,3000
resnet50,122,38000,2000
resnet50,122,151000,5000
multipose,196,7000,4000
vggvd-v2,144,24000,5000